date,ENTITY_DESCRIPTION_SHORT,wait_time_avg,guests_sum,adjcap_sum,open_min_sum,up_min_sum,nb_units_med,nb_max_unit,utilization,availability,eff_cap,dow,month,attendance,scheduled_open_min,temp,feels_like,dew_point,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,visibility,weather_main,weather_description,weather_icon,weather_id,covid,post_covid,season
2018-01-01,Bumper Cars,5.0,7196.0002,12312.9167,725,725,18.0,18.0,0.5844269376077238,1.0,12312.9167,0,1,,755.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Bungee Jump,8.173076923076923,8265.0,11823.6,762,704,4.0,5.0,0.699025677458642,0.9238845144356955,10923.64094488189,0,1,,762.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Circus Train,5.0,4166.0,11130.0,477,477,1.0,1.0,0.374303683737646,1.0,11130.0,0,1,,477.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Crazy Dance,4.903846153846154,3352.0,12433.3333,768,746,1.0,1.0,0.2695978559506645,0.9713541666666666,12077.170106510417,0,1,,768.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Dizzy Dropper,5.0,5533.0,10202.6,734,734,86.0,88.0,0.5423127438104013,1.0,10202.6,0,1,,764.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Drop Tower,7.959183673469388,4114.0001,6806.8,728,728,16.0,16.0,0.6043956190867956,1.0,6806.8,0,1,,758.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Flying Coaster,12.211538461538462,20213.0001,36573.6,771,771,24.0,24.0,0.5526664069164644,1.0,36573.6,0,1,,771.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Free Fall,74.53125,1813.0,3928.35,470,470,3.0,3.0,0.46151692186286863,1.0,3928.35,0,1,,470.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Giant Wheel,37.59615384615385,11175.0,17107.3497,766,721,4.0,5.0,0.6532280099470932,0.9412532637075718,16102.348738511748,0,1,,766.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
2018-01-01,Giga Coaster,5.3061224489795915,16778.0,32865.017,734,734,24.0,24.0,0.5105124394124001,1.0,32865.017,0,1,,738.0,7.305,3.01,4.425,1007.5,82.5,7.885,237.0,3.95,69.5,0.82,0.72,0.29500000000000004,,,Clouds,light rain,10d,500,0,0,winter
