date_hour,ENTITY_DESCRIPTION_SHORT,pred_wait_time
2022-07-26 22:00:00,Oz Theatre,7.571378907346501
2022-07-27 09:00:00,Oz Theatre,7.506656600371008
2022-07-27 10:00:00,Oz Theatre,7.506656600371008
2022-07-27 11:00:00,Oz Theatre,7.201127784178077
2022-07-27 12:00:00,Oz Theatre,7.506656600371008
2022-07-27 13:00:00,Oz Theatre,7.506656600371008
2022-07-27 14:00:00,Oz Theatre,7.506656600371008
2022-07-27 15:00:00,Oz Theatre,7.506656600371008
2022-07-27 16:00:00,Oz Theatre,7.744655949980447
2022-07-27 17:00:00,Oz Theatre,7.506656600371008
2022-07-27 18:00:00,Oz Theatre,6.771194222876375
2022-07-27 19:00:00,Oz Theatre,7.098464669577874
2022-07-27 20:00:00,Oz Theatre,7.506656600371008
2022-07-27 21:00:00,Oz Theatre,7.506656600371008
2022-07-27 22:00:00,Oz Theatre,7.506656600371008
2022-07-28 09:00:00,Oz Theatre,7.384348148132265
2022-07-28 10:00:00,Oz Theatre,7.506656600371008
2022-07-28 11:00:00,Oz Theatre,7.201127784178077
2022-07-28 12:00:00,Oz Theatre,7.506656600371008
2022-07-28 13:00:00,Oz Theatre,7.506656600371008
2022-07-28 14:00:00,Oz Theatre,7.506656600371008
2022-07-28 15:00:00,Oz Theatre,7.506656600371008
2022-07-28 16:00:00,Oz Theatre,7.744655949980447
2022-07-28 17:00:00,Oz Theatre,7.506656600371008
2022-07-28 18:00:00,Oz Theatre,6.771194222876375
2022-07-28 19:00:00,Oz Theatre,7.098464669577874
2022-07-28 20:00:00,Oz Theatre,7.506656600371008
2022-07-28 21:00:00,Oz Theatre,7.506656600371008
2022-07-28 22:00:00,Oz Theatre,7.506656600371008
2022-07-29 09:00:00,Oz Theatre,7.506656600371008
2022-07-29 10:00:00,Oz Theatre,7.506656600371008
2022-07-29 11:00:00,Oz Theatre,7.201127784178077
2022-07-29 12:00:00,Oz Theatre,7.506656600371008
